AccountID,AssetClassID,BenchmarkID,Rank
1222,NULL,166,1
1223,NULL,82,1
1223,NULL,166,2
1224,NULL,82,1
1224,NULL,166,2
1225,NULL,82,1
1225,NULL,166,2
1226,NULL,82,1
1226,NULL,166,2
1227,NULL,82,1
1227,NULL,166,2
1228,NULL,82,1
1228,NULL,166,2
1229,NULL,82,1
1229,NULL,166,2
1230,NULL,82,1
1230,NULL,166,2
1231,NULL,166,1
1232,NULL,82,1
1232,NULL,166,2
1233,NULL,166,1
1234,NULL,82,1
1234,NULL,166,2
1235,NULL,82,1
1235,NULL,166,2
1236,NULL,82,1
1236,NULL,166,2
1237,NULL,82,1
1237,NULL,166,2
1238,NULL,82,1
1238,NULL,166,2
1239,NULL,82,1
1239,NULL,166,2
1240,NULL,82,1
1240,NULL,166,2
1241,NULL,82,1
1241,NULL,166,2
1242,NULL,82,1
1242,NULL,166,2
1243,NULL,82,1
1243,NULL,166,2
1244,NULL,82,1
1244,NULL,166,2
1245,NULL,82,1
1245,NULL,166,2
1246,NULL,82,1
1246,NULL,166,2
1247,NULL,82,2
1247,NULL,166,1
1248,NULL,82,1
1248,NULL,166,3
1249,NULL,82,1
1249,NULL,166,2
1250,NULL,82,1
1250,NULL,166,2
1251,NULL,82,2
1251,NULL,166,1
1252,NULL,82,1
1252,NULL,166,2
1253,NULL,82,1
1253,NULL,166,2
1254,NULL,82,1
1254,NULL,166,2
1255,NULL,82,1
1255,NULL,166,2
1256,NULL,82,1
1256,NULL,166,2
1257,NULL,82,1
1257,NULL,166,2
1258,NULL,82,1
1258,NULL,166,2
1259,NULL,82,1
1259,NULL,166,2
1260,NULL,82,1
1260,NULL,166,2
1261,NULL,164,2
1261,NULL,166,1
1262,NULL,82,1
1262,NULL,166,2
1263,NULL,82,1
1263,NULL,166,2
1264,NULL,82,1
1264,NULL,166,2
1265,NULL,82,1
1265,NULL,166,2
1266,NULL,82,1
1266,NULL,166,2
1267,NULL,82,1
1267,NULL,166,2
1268,NULL,82,1
1268,NULL,166,2
1269,NULL,82,1
1269,NULL,166,2
1270,NULL,82,1
1270,NULL,166,2
1271,NULL,82,1
1271,NULL,166,2
1272,NULL,82,1
1272,NULL,166,2
1273,NULL,82,1
1273,NULL,166,2
1274,NULL,82,1
1274,NULL,166,2
1275,NULL,82,2
1275,NULL,166,1
1276,NULL,82,1
1276,NULL,166,2
1277,NULL,82,2
1277,NULL,166,1
1278,NULL,82,1
1278,NULL,166,2
1279,NULL,82,1
1279,NULL,166,2
1280,NULL,82,1
1280,NULL,166,2
1281,NULL,82,1
1281,NULL,166,2
1282,NULL,82,1
1282,NULL,166,2
1286,NULL,58,2
1286,NULL,60,1
1287,NULL,58,2
1287,NULL,60,1
1288,NULL,58,2
1288,NULL,60,1
1290,NULL,164,1
1290,NULL,166,2
1291,NULL,164,1
1291,NULL,166,2
1293,NULL,82,2
1293,NULL,166,1
1294,NULL,82,2
1294,NULL,166,1
1295,NULL,82,2
1295,NULL,166,1
1296,NULL,82,2
1296,NULL,166,1
1313,NULL,82,1
1313,NULL,166,50
1314,NULL,52,4
1314,NULL,82,3
1314,NULL,139,1
1314,NULL,166,50
1314,NULL,231,2
1327,NULL,94,2
1327,NULL,102,1
1328,NULL,94,2
1328,NULL,102,1
1329,NULL,96,2
1329,NULL,339,1
1330,NULL,292,1
1331,NULL,102,2
1331,NULL,335,1
1332,NULL,345,1
1333,NULL,94,4
1333,NULL,164,2
1333,NULL,166,3
1333,NULL,207,1
1334,NULL,208,1
1335,NULL,209,1
1336,NULL,57,6
1336,NULL,63,2
1336,NULL,82,5
1336,NULL,94,3
1336,NULL,101,4
1336,NULL,210,1
1337,NULL,57,6
1337,NULL,63,2
1337,NULL,82,5
1337,NULL,94,3
1337,NULL,101,4
1337,NULL,211,1
1338,NULL,57,6
1338,NULL,63,2
1338,NULL,82,5
1338,NULL,94,3
1338,NULL,101,4
1338,NULL,212,1
1339,NULL,105,1
1341,NULL,102,2
1341,NULL,215,1
1342,NULL,102,2
1342,NULL,217,1
1343,NULL,46,2
1343,NULL,266,1
1344,NULL,102,2
1344,NULL,282,1
1345,NULL,227,1
1351,NULL,96,1
1356,NULL,46,1
1357,NULL,105,1
1360,NULL,94,1
1363,NULL,46,2
1363,NULL,230,1
1366,NULL,82,1
1366,NULL,166,2
1368,NULL,76,2
1368,NULL,78,1
1369,NULL,82,1
1369,NULL,166,2
1370,NULL,62,1
1371,NULL,30,3
1371,NULL,58,2
1371,NULL,60,1
1372,NULL,88,2
1372,NULL,101,1
1372,NULL,102,4
1372,NULL,111,3
1373,NULL,41,4
1373,NULL,54,3
1373,NULL,92,1
1373,NULL,93,5
1373,NULL,113,2
1374,NULL,158,1
1375,NULL,75,4
1375,NULL,82,1
1375,NULL,164,3
1375,NULL,166,2
1377,NULL,82,1
1377,NULL,164,3
1377,NULL,166,2
1378,NULL,82,1
1378,NULL,166,2
1379,NULL,82,1
1379,NULL,166,2
1380,NULL,82,1
1380,NULL,166,2
1381,NULL,128,2
1381,NULL,130,1
1383,NULL,120,3
1383,NULL,123,2
1383,NULL,125,1
1384,NULL,128,2
1385,NULL,115,4
1385,NULL,117,3
1385,NULL,144,2
1385,NULL,146,1
1385,NULL,246,6
1385,NULL,261,5
1387,NULL,115,2
1387,NULL,117,1
1388,NULL,114,2
1388,NULL,116,3
1388,NULL,141,1
1389,NULL,133,2
1389,NULL,135,1
1390,NULL,133,2
1390,NULL,135,1
1391,NULL,115,4
1391,NULL,117,3
1391,NULL,144,2
1391,NULL,146,1
1392,NULL,115,4
1392,NULL,117,3
1392,NULL,144,2
1392,NULL,146,1
1393,NULL,63,1
1393,NULL,64,2
1393,NULL,166,50
1394,NULL,82,1
1394,NULL,166,2
1395,NULL,82,1
1395,NULL,166,2
1396,NULL,82,1
1396,NULL,166,2
1397,NULL,82,1
1398,NULL,56,1
1399,NULL,94,1
1400,NULL,85,2
1400,NULL,94,1
1401,NULL,45,3
1401,NULL,96,2
1401,NULL,97,1
1401,NULL,102,4
1402,NULL,58,2
1402,NULL,60,1
1403,NULL,85,2
1403,NULL,102,1
1404,NULL,167,1
1405,NULL,37,2
1405,NULL,85,1
1406,NULL,37,2
1406,NULL,85,1
1407,NULL,45,2
1407,NULL,102,1
1408,NULL,46,2
1408,NULL,105,1
1409,NULL,104,1
1410,NULL,48,6
1410,NULL,92,5
1410,NULL,94,1
1410,NULL,154,2
1410,NULL,167,3
1410,NULL,175,4
1411,NULL,107,1
1412,NULL,114,2
1412,NULL,116,3
1412,NULL,141,1
1412,NULL,145,4
1413,NULL,114,2
1413,NULL,116,3
1413,NULL,141,1
1413,NULL,145,4
1414,NULL,102,3
1414,NULL,175,4
1415,NULL,167,1
1416,NULL,184,1
1417,NULL,45,2
1417,NULL,102,1
1418,NULL,46,2
1418,NULL,105,1
1418,NULL,173,3
1419,NULL,30,3
1419,NULL,58,1
1419,NULL,60,2
1419,NULL,75,7
1419,NULL,82,5
1419,NULL,164,6
1419,NULL,166,4
1420,NULL,94,1
1421,NULL,94,1
1421,NULL,175,2
1422,NULL,184,1
1423,NULL,184,1
1424,NULL,104,1
1425,NULL,144,50
1425,NULL,246,1
1425,NULL,261,2
1426,NULL,144,50
1426,NULL,246,1
1426,NULL,261,2
1427,NULL,82,1
1427,NULL,166,2
1428,NULL,92,1
1429,NULL,85,1
1430,NULL,64,1
1430,NULL,166,50
1433,NULL,97,1
1436,NULL,94,1
1437,NULL,144,1
1437,NULL,146,2
1438,NULL,133,1
1438,NULL,135,2
1439,NULL,57,3
1439,NULL,63,1
1439,NULL,82,2
1440,NULL,97,1
1441,NULL,82,1
1441,NULL,166,2
1442,NULL,58,2
1442,NULL,60,1
1443,NULL,58,2
1443,NULL,60,1
1443,NULL,166,50
1444,NULL,57,3
1444,NULL,63,1
1444,NULL,82,2
1445,NULL,57,3
1445,NULL,63,1
1445,NULL,82,2
1448,NULL,82,1
1448,NULL,166,2
1450,NULL,123,2
1450,NULL,125,1
1451,NULL,144,1
1451,NULL,146,2
1452,NULL,144,1
1455,NULL,82,1
1455,NULL,166,2
1456,NULL,82,1
1456,NULL,166,2
1457,NULL,94,1
1458,NULL,82,1
1458,NULL,166,2
1459,NULL,82,1
1459,NULL,166,2
1460,NULL,82,1
1460,NULL,166,2
1461,NULL,92,1
1462,NULL,58,2
1462,NULL,60,1
1463,NULL,166,50
1467,NULL,133,2
1467,NULL,135,1
1468,NULL,102,2
1468,NULL,331,1
1469,NULL,102,2
1469,NULL,323,1
1470,NULL,56,3
1470,NULL,85,2
1470,NULL,86,1
1471,NULL,92,2
1471,NULL,325,1
1472,NULL,92,2
1472,NULL,332,1
1473,NULL,82,1
1473,NULL,166,50
1474,NULL,82,1
1474,NULL,166,2
1475,NULL,133,1
1475,NULL,135,2
1476,NULL,94,1
1477,NULL,94,1
1478,NULL,166,50
1479,NULL,166,50
1480,NULL,133,50
1481,NULL,166,50
1482,NULL,166,50
1483,NULL,166,50
1484,NULL,166,50
1485,NULL,58,2
1485,NULL,60,1
1486,NULL,58,2
1486,NULL,60,1
1487,NULL,82,1
1487,NULL,166,2
1489,NULL,133,50
1490,NULL,82,1
1490,NULL,166,50
1491,NULL,58,2
1491,NULL,60,1
1492,NULL,82,1
1493,NULL,58,2
1493,NULL,60,1
1495,NULL,144,50
1496,NULL,144,50
1498,NULL,144,50
1499,NULL,31,2
1499,NULL,82,1
1499,NULL,94,4
1499,NULL,166,3
1503,NULL,58,2
1503,NULL,60,1
1504,NULL,58,2
1504,NULL,60,1
1508,NULL,128,2
1508,NULL,130,1
1509,NULL,58,2
1509,NULL,60,1
